ARRIVAL_DELAY,DISTANCE,SCHEDULED_TIME,MONTH,SCHED_DEP_HOUR,SCHED_ARR_HOUR,FLIGHT_COUNT,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT
23.0,2586,342.0,9,7,15,240,3,SFO,JFK
10.0,1235,185.0,5,6,11,366,4,LAX,DFW
-7.0,184,76.0,4,17,18,172,7,BOS,LGA
68.0,862,148.0,7,19,21,260,7,IAH,DEN
24.0,236,71.0,3,20,21,266,2,LAS,LAX
6.0,449,97.0,4,13,14,179,5,CLT,PHL
19.0,717,110.0,10,21,0,11,1,13232,10257
8.0,1199,173.0,10,9,13,26,6,11292,10397
-17.0,1670,240.0,8,11,12,36,4,CMH,PHX
36.0,731,155.0,9,9,10,581,6,ATL,DFW
26.0,337,84.0,5,20,21,366,3,LAX,SFO
-1.0,1127,178.0,7,14,17,181,2,DTW,FLL
16.0,1788,277.0,4,17,19,124,1,TPA,PHX
59.0,1464,243.0,2,18,20,438,2,DFW,SFO
19.0,726,125.0,7,19,22,164,1,MSP,PIT
-16.0,402,81.0,10,17,19,1,1,12156,14869
36.0,1183,218.0,1,18,21,229,6,LGA,MSY
10.0,391,81.0,8,17,19,378,4,DEN,SLC
-14.0,1694,225.0,6,11,16,182,3,SEA,MKE
-20.0,561,114.0,11,11,13,438,1,DFW,GRI
-9.0,83,43.0,4,16,16,581,2,ATL,CSG
-10.0,587,95.0,4,7,9,120,7,DAL,BHM
85.0,1084,166.0,11,20,22,181,7,DTW,RSW
-8.0,408,92.0,6,18,18,15,2,GRR,MSP
70.0,1747,255.0,9,20,21,581,7,ATL,LAS
-8.0,347,80.0,9,9,9,21,5,ELP,PHX
70.0,1121,194.0,10,14,16,8,5,13303,11298
20.0,293,65.0,2,18,19,120,6,DAL,LBB
-6.0,744,141.0,3,9,10,260,1,IAH,ABQ
5.0,628,110.0,3,18,20,266,5,LAS,DEN
-15.0,258,70.0,4,12,13,120,4,SAN,LAS
22.0,237,76.0,1,21,21,181,6,DTW,MKE
76.0,937,175.0,12,19,22,217,1,EWR,MCO
15.0,337,85.0,5,17,19,90,4,OAK,LAX
-20.0,781,142.0,2,18,20,33,3,OMA,IAH
-13.0,697,120.0,5,18,20,182,1,SEA,SJC
13.0,1749,230.0,9,9,16,266,1,LAS,DTW
-8.0,157,64.0,6,12,14,578,1,ORD,FWA
62.0,1068,177.0,3,14,15,124,6,MIA,STL
40.0,1598,228.0,6,23,3,180,1,JFK,SJU
148.0,678,141.0,6,20,21,127,1,PHL,ORD
54.0,746,162.0,12,16,19,217,4,EWR,ATL
66.0,977,162.0,11,13,16,69,1,AUS,ORD
60.0,2615,325.0,5,20,5,13,4,LIH,LAX
82.0,677,125.0,5,18,19,28,1,ABQ,LAX
5.0,214,60.0,9,23,0,581,7,ATL,SAV
-4.0,1237,180.0,11,20,23,118,2,FLL,BOS
-7.0,645,110.0,8,9,11,581,7,ATL,FNT
-14.0,272,65.0,10,7,8,5,6,15016,10693
76.0,695,129.0,9,13,15,164,4,MSP,BNA
27.0,936,136.0,3,13,16,438,4,DFW,CLT
-19.0,1379,197.0,6,0,6,366,3,LAX,IAH
